"sampleID" "shannon" "chao1" "consequtive" "bray" "jacc"
"167" "sub.733.4.fourmonth" 1.97193694977435 28 "sub.733.6.ninemonth" 0.820041145208298 0.666666666666667
"168" "sub.692.12.sick" 3.21400297812537 34 "sub.692.5.sixmonth" 0.458474694427662 0.466666666666667
"169" "sub.621.14.sick" 3.33218989660846 36 NA NA NA
"170" "sub.666.5.sixmonth" 2.43496331929567 23 "sub.666.7.one.year" 0.784206338784307 0.628571428571429
"171" "sub.526.23.sick" 2.63148919757093 32 "sub.526.24.sick" 0.225996324796141 0.291666666666667
"172" "sub.571.6.ninemonth" 1.49299274405005 23 "sub.571.7.one.year" 0.401949548667894 0.538461538461538
"173" "sub.464.7.one.year" 2.79184212917676 22 NA NA NA
"174" "sub.781.14.sick" 1.92133826265946 34 "sub.781.5.sixmonth" 0.856213392176269 0.535714285714286
"175" "sub.659.5.sixmonth" 2.53306369241139 32 "sub.659.6.ninemonth" 0.816940419638735 0.666666666666667
"176" "sub.526.24.sick" 2.54305752353438 28 "sub.526.7.one.year" 0.353227613040146 0.291666666666667
"177" "sub.667.13.sick" 3.1595749843671 34 "sub.667.6.ninemonth" 0.54836134223565 0.342105263157895
"178" "sub.735.4.fourmonth" 1.44443108685951 31 "sub.735.6.ninemonth" 0.467609030058621 0.387096774193548
"179" "sub.676.5.sixmonth" 2.83746801912075 39 "sub.676.6.ninemonth" 0.645180940067876 0.5
"180" "sub.470.7.one.year" 3.0186554764314 31 NA NA NA
"181" "sub.749.4.fourmonth" 2.2610117947245 29 "sub.749.5.sixmonth" 0.645762229806598 0.518518518518518
"182" "sub.760.4.fourmonth" 2.70683545771503 32 "sub.760.5.sixmonth" 0.477953231512641 0.466666666666667
"183" "sub.585.6.ninemonth" 2.81475050198753 31 "sub.585.19.sick" 0.670720087658703 0.441176470588235
"184" "sub.535.15.sick" 2.93032599294139 28 "sub.535.7.one.year" 0.315613433858807 0.448275862068966
"185" "sub.577.6.ninemonth" 1.2769116692271 32 NA NA NA
"187" "sub.758.4.fourmonth" 2.18846320960708 28 "sub.758.5.sixmonth" 0.576984574505063 0.483870967741936
"188" "sub.692.5.sixmonth" 2.23356495318104 32 "sub.692.13.sick" 0.427507710133074 0.466666666666667
"189" "sub.711.4.fourmonth" 1.97747113823152 29 NA NA NA
"190" "sub.655.14.sick" 2.33489511227187 26 NA NA NA
"191" "sub.498.7.one.year" 4.0419507485125 36 NA NA NA
"192" "sub.782.4.fourmonth" 1.6095757917104 19 "sub.782.6.ninemonth" 0.675793126746722 0.517241379310345
"193" "sub.709.5.sixmonth" 1.58075807114068 16 NA NA NA
"194" "sub.541.6.ninemonth" 3.09006816229306 28 NA NA NA
"195" "sub.639.6.ninemonth" 0.920968942112125 29 "sub.639.7.one.year" 0.373843710681451 0.451612903225806
"196" "sub.708.5.sixmonth" 1.24977755002648 28 "sub.708.11.sick" 0.773503311684136 0.411764705882353
"197" "sub.729.5.sixmonth" 1.96572153247358 24 NA NA NA
"198" "sub.630.6.ninemonth" 2.13434798301786 27 NA NA NA
"199" "sub.728.5.sixmonth" 3.06862982979978 31 "sub.728.6.ninemonth" 0.782652293807972 0.612903225806452
