"","x"
"757","sub.408.7.one.year"
"758","sub.470.7.one.year"
"759","sub.397.7.one.year"
"760","sub.585.19.sick"
"761","sub.692.7.one.year"
"762","sub.410.7.one.year"
"763","sub.422.7.one.year"
"764","sub.436.7.one.year"
"765","sub.438.7.one.year"
"766","sub.431.7.one.year"
"767","sub.394.7.one.year"
"768","sub.535.7.one.year"
"769","sub.708.7.one.year"
"770","sub.663.7.one.year"
"771","sub.464.7.one.year"
"772","sub.498.7.one.year"
"773","sub.639.7.one.year"
"774","sub.716.12.sick"
"775","sub.686.7.one.year"
"776","sub.222.7.one.year"
"777","sub.272.7.one.year"
"778","sub.267.7.one.year"
"779","sub.310.7.one.year"
"780","sub.358.7.one.year"
"781","sub.16.7.one.year"
"782","sub.14.7.one.year"
"783","sub.8.7.one.year"
"784","sub.13.7.one.year"
"785","sub.9.7.one.year"
"786","sub.90.7.one.year"
"787","sub.347.7.one.year"
"788","sub.89.13.sick"
"789","sub.316.7.one.year"
"790","sub.367.7.one.year"
"791","sub.144.12.sick"
"792","sub.159.7.one.year"
"793","sub.307.7.one.year"
"794","sub.192.7.one.year"
"795","sub.179.7.one.year"
"796","sub.228.12.sick"
"797","sub.226.7.one.year"
"798","sub.225.11.sick"
"799","sub.247.7.one.year"
"800","sub.233.7.one.year"
"801","sub.260.7.one.year"
"802","sub.273.7.one.year"
"803","sub.282.7.one.year"
"804","sub.309.7.one.year"
"805","sub.321.7.one.year"
"806","sub.360.7.one.year"
"807","sub.349.7.one.year"
"808","sub.405.7.one.year"
